Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN00001,1,1,2,5,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,88,0,10/2/2015,Not_Canceled
INN00002,1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,11/6/2018,Not_Canceled
INN00003,2,1,1,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,50,0,2/28/2018,Canceled
INN00004,1,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100,1,5/20/2017,Canceled
INN00005,1,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,77,0,4/11/2018,Canceled
INN00006,1,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,100,1,9/13/2016,Canceled
INN00007,1,1,1,4,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,10/15/2017,Not_Canceled
INN00008,3,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,12/26/2018,Not_Canceled
INN00009,1,1,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,7/6/2018,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,10/18/2018,Not_Canceled
INN00011,1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,9/11/2018,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,4/30/2018,Not_Canceled
INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88,0,11/26/2018,Canceled
INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90,2,11/20/2018,Canceled
INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,10/20/2017,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115,1,6/15/2018,Canceled
INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96,0,10/5/2017,Not_Canceled
INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96,1,8/10/2017,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,10/30/2017,Canceled
INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72,0,10/4/2017,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,10/30/2017,Canceled
INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67,0,11/25/2018,Not_Canceled
INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85,0,3/20/2018,Not_Canceled
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,10/13/2018,Not_Canceled
INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,5/22/2018,Not_Canceled
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,4/28/2018,Not_Canceled
INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65,0,9/21/2017,Not_Canceled
INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110,0,5/19/2018,Canceled
INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,11/6/2017,Canceled
INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82,0,9/17/2017,Not_Canceled
INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,9/19/2017,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,11/13/2018,Not_Canceled
INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,12/7/2018,Not_Canceled
INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,1/9/2018,Not_Canceled
INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,10/7/2018,Not_Canceled
INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115,1,4/27/2018,Not_Canceled
INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81,0,6/19/2018,Canceled
INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67,0,10/17/2017,Not_Canceled
INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,11/19/2018,Canceled
INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,7/30/2018,Canceled
INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,11/1/2018,Not_Canceled
INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102,1,6/21/2018,Not_Canceled
INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,4/10/2018,Not_Canceled
INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,6/27/2018,Canceled
INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60,1,11/18/2017,Not_Canceled
INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75,0,12/29/2017,Not_Canceled
INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73,0,11/20/2017,Not_Canceled
INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,4/6/2018,Not_Canceled
INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,11/1/2018,Not_Canceled
INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,12/29/2018,Not_Canceled
INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,5/30/2018,Not_Canceled
INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106,0,4/22/2018,Canceled
INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,5/16/2018,Not_Canceled
INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60,1,11/11/2017,Not_Canceled
INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89,2,6/13/2018,Not_Canceled
INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136,1,5/19/2018,Not_Canceled
INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,7/28/2018,Not_Canceled
INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,12/26/2018,Not_Canceled
INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,4/20/2018,Canceled
INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,4/6/2018,Not_Canceled
INN00061,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258,1,9/2/2018,Not_Canceled
INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,5/3/2018,Not_Canceled
INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95,0,6/24/2018,Not_Canceled
INN00064,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0,1,9/10/2017,Not_Canceled
INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75,0,12/18/2018,Not_Canceled
INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,10/5/2018,Not_Canceled
INN00067,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,6/3/2018,Not_Canceled
INN00068,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142,0,4/15/2018,Canceled
INN00069,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80,0,4/6/2018,Not_Canceled
INN00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,4/25/2018,Not_Canceled
INN00071,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100,0,8/25/2018,Not_Canceled
INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88,2,11/14/2018,Not_Canceled
INN00073,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,8/29/2018,Not_Canceled
INN00074,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100,0,6/3/2018,Canceled
INN00075,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75,0,10/25/2017,Not_Canceled
INN00076,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,3/9/2018,Not_Canceled
INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,12/31/2018,Not_Canceled
INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,6/27/2018,Not_Canceled
INN00079,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,6/28/2018,Canceled
INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75,1,3/29/2018,Not_Canceled
INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,4/1/2018,Canceled
INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,10/11/2018,Canceled
INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88,2,12/25/2018,Not_Canceled
INN00084,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,3/14/2018,Not_Canceled
INN00085,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,3/4/2018,Not_Canceled
INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150,2,10/17/2018,Not_Canceled
INN00087,2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,9/4/2018,Not_Canceled
INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130,0,6/15/2018,Canceled
INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95,0,12/10/2018,Not_Canceled
INN00090,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,8/9/2018,Not_Canceled
INN00091,2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,5/5/2018,Not_Canceled
INN00092,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,3/18/2018,Not_Canceled
INN00093,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,4/9/2018,Not_Canceled
INN00094,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,5/19/2018,Not_Canceled
INN00095,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,8/30/2018,Canceled
INN00096,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,8/4/2018,Not_Canceled
INN00097,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115,1,8/18/2018,Canceled
INN00098,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,4/13/2018,Not_Canceled
INN00099,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,11/17/2018,Not_Canceled
INN00100,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,12/22/2018,Not_Canceled
INN00101,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,10/23/2018,Not_Canceled
INN00102,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,5/13/2018,Not_Canceled
INN00103,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,12/13/2018,Not_Canceled
INN00104,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95,1,10/31/2017,Not_Canceled
INN00105,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107,1,10/8/2017,Not_Canceled
INN00106,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64,0,2/16/2018,Not_Canceled
INN00107,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,11/2/2017,Not_Canceled
INN00108,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155,1,9/21/2017,Not_Canceled
INN00109,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,6/30/2018,Not_Canceled
INN00110,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,9/5/2017,Not_Canceled
INN00111,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,9/30/2018,Canceled
INN00112,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127,1,6/27/2018,Not_Canceled
INN00113,2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,6/16/2018,Not_Canceled
INN00114,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,6/30/2018,Not_Canceled
